Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0500000US06001,6001,"Alameda County, California",166616,137615,7201,6434,4861,1207,9298
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0500000US06001,6001,"Alameda County, California",603082,261199,98561,2263,205423,6356,29280
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0500000US06001,6001,"Alameda County, California",769698,398814,105762,8697,210284,7563,38578
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0500000US06001,6001,"Alameda County, California",173273,144490,6789,7053,4782,1158,9001
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0500000US06001,6001,"Alameda County, California",567300,256303,86764,1985,188629,6042,27577
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0500000US06001,6001,"Alameda County, California",740573,400793,93553,9038,193411,7200,36578
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0500000US06001,6001,"Alameda County, California",339889,282105,13990,13487,9643,2365,18299
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0500000US06001,6001,"Alameda County, California",1170382,517502,185325,4248,394052,12398,56857
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0500000US06001,6001,"Alameda County, California",1510271,799607,199315,17735,403695,14763,75156
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0500000US06001,6001,"Alameda County, California",166616,137615,7201,6434,4861,1207,9298
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0500000US06001,6001,"Alameda County, California",603075,261199,98561,2263,205416,6356,29280
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0500000US06001,6001,"Alameda County, California",769691,398814,105762,8697,210277,7563,38578
